registration;aircraft_type_code;dry_operating_weight_kg;fuel_capacity_kg;apu_burn_rate_kg_hr;performance_factor_pct;record_status;provisional_expiry;confirmed_by;confirmed_at;operator_code;on_own_aoc;cost_object_type;cost_object_id;is_active;created_at;created_by;modified_at;modified_by
C-FITU;B777;160500.00;145000.00;110.00;101.200;CONFIRMED;;fleet.admin@airline.com;2026-01-15T00:00:00Z;ACA;true;;;true;2026-01-15T00:00:00Z;WP07_SEED;2026-01-15T00:00:00Z;WP07_SEED
C-GFAH;A330;120800.00;97500.00;95.00;100.400;CONFIRMED;;fleet.admin@airline.com;2026-01-15T00:00:00Z;ACA;true;;;true;2026-01-15T00:00:00Z;WP07_SEED;2026-01-15T00:00:00Z;WP07_SEED
C-GHPQ;B787;128900.00;101000.00;92.00;99.800;CONFIRMED;;fleet.admin@airline.com;2026-01-15T00:00:00Z;ACA;true;;;true;2026-01-15T00:00:00Z;WP07_SEED;2026-01-15T00:00:00Z;WP07_SEED
C-GHPX;B787;129100.00;101000.00;92.00;100.900;CONFIRMED;;fleet.admin@airline.com;2026-01-15T00:00:00Z;ACA;true;;;true;2026-01-15T00:00:00Z;WP07_SEED;2026-01-15T00:00:00Z;WP07_SEED
C-GROV;A220;35200.00;17600.00;65.00;98.700;CONFIRMED;;fleet.admin@airline.com;2026-01-15T00:00:00Z;ACA;true;;;true;2026-01-15T00:00:00Z;WP07_SEED;2026-01-15T00:00:00Z;WP07_SEED
RP-C8801;A350;142400.00;138000.00;105.00;100.100;CONFIRMED;;fleet.admin@airline.com;2026-03-01T00:00:00Z;PAL;true;;;true;2026-03-01T00:00:00Z;WP07_SEED;2026-03-01T00:00:00Z;WP07_SEED
RP-C8802;A350;142600.00;138000.00;105.00;101.500;CONFIRMED;;fleet.admin@airline.com;2026-03-01T00:00:00Z;PAL;true;;;true;2026-03-01T00:00:00Z;WP07_SEED;2026-03-01T00:00:00Z;WP07_SEED
RP-C8803;;;;;;PROVISIONAL;2026-05-02;;;PAL;true;;;true;2026-04-02T00:00:00Z;WP07_SEED;2026-04-02T00:00:00Z;WP07_SEED
RP-C8804;;;;;;PROVISIONAL;2026-05-04;;;PAL;true;;;true;2026-04-04T00:00:00Z;WP07_SEED;2026-04-04T00:00:00Z;WP07_SEED
RP-C8805;A320;42600.00;18700.00;70.00;100.300;PROVISIONAL;2026-05-05;;;PAL;true;;;true;2026-04-05T00:00:00Z;WP07_SEED;2026-04-05T00:00:00Z;WP07_SEED
RP-C8888;A320;42500.00;18700.00;70.00;99.500;PROVISIONAL;2026-05-06;;;PAL;true;;;true;2026-04-06T00:00:00Z;WP07_SEED;2026-04-06T00:00:00Z;WP07_SEED
C-FDMO;A320;42800.00;19100.00;105.00;100.400;CONFIRMED;;fleet.admin@airline.com;2026-01-05T00:00:00Z;ACA;true;;;true;2026-04-10T00:00:00Z;WPDEMO01_SEED;2026-04-10T00:00:00Z;WPDEMO01_SEED
C-FDMP;A320;42750.00;19100.00;105.00;101.100;CONFIRMED;;fleet.admin@airline.com;2026-01-05T00:00:00Z;ACA;true;;;true;2026-04-10T00:00:00Z;WPDEMO01_SEED;2026-04-10T00:00:00Z;WPDEMO01_SEED
C-GDMS;A350;145200.00;111000.00;135.00;99.800;CONFIRMED;;fleet.admin@airline.com;2026-01-05T00:00:00Z;ACA;true;;;true;2026-04-10T00:00:00Z;WPDEMO01_SEED;2026-04-10T00:00:00Z;WPDEMO01_SEED
C-GLTA;A321;48500.00;23700.00;110.00;101.200;PROVISIONAL;2026-04-24;;;ACA;true;;;true;2026-04-08T00:00:00Z;S6_SEED;2026-04-08T00:00:00Z;S6_SEED
