ID;tail_number;tail_registration;flight_ID;apu_start_utc;apu_stop_utc;usage_phase;apu_source;is_open;running_minutes;apu_burn_kg;burn_rate_kg_hr;rate_source;allocated_flight_ID;allocation_basis;remarks;created_at;created_by;modified_at;modified_by
a9c00000-0000-4000-8000-000000000001;C-FDMO;C-FDMO;e5f6a7b8-5555-4000-8000-0000000d0001;2026-04-10T09:50:00Z;2026-04-10T10:20:00Z;PRE_DEPARTURE;ACARS;false;30;52.50;105.00;AIRCRAFT_REGISTRATIONS;e5f6a7b8-5555-4000-8000-0000000d0001;PHASE;S1. Ends where refuelling starts. 30 of the 700 minutes on stand - the rest is ground power.;2026-04-10T00:00:00Z;WP19_SEED;2026-08-25T00:00:00Z;S1_CORRECTION
a9c00000-0000-4000-8000-000000000002;C-FDMO;C-FDMO;e5f6a7b8-5555-4000-8000-0000000d0001;2026-04-10T12:33:00Z;2026-04-10T12:52:00Z;POST_ARRIVAL;ACARS;false;19;33.25;105.00;AIRCRAFT_REGISTRATIONS;e5f6a7b8-5555-4000-8000-0000000d0001;PHASE;S1. Chocks-on to flight closure. C-4 splits the ground gap here.;2026-04-10T00:00:00Z;WP19_SEED;2026-08-25T00:00:00Z;S1_CORRECTION
a9c00000-0000-4000-8000-000000000003;C-GDMS;C-GDMS;e5f6a7b8-5555-4000-8000-0000000d0002;2026-04-10T23:40:00Z;2026-04-11T00:20:00Z;PRE_DEPARTURE;ACARS;false;40;90.00;135.00;AIRCRAFT_REGISTRATIONS;e5f6a7b8-5555-4000-8000-0000000d0002;PHASE;Crosses midnight. 40 minutes, not minus 1400 - only full timestamps can say so.;2026-04-10T00:00:00Z;WP19_SEED;2026-04-10T00:00:00Z;WP19_SEED
a9c00000-0000-4000-8000-000000000004;C-FDMP;C-FDMP;;2026-04-10T22:00:00Z;2026-04-11T05:30:00Z;OVERNIGHT;ACARS;false;450;787.50;105.00;AIRCRAFT_REGISTRATIONS;;NONE;Seven and a half hours parked. Charging either adjacent flight would be misleading.;2026-04-10T00:00:00Z;WP19_SEED;2026-04-10T00:00:00Z;WP19_SEED
a9c00000-0000-4000-8000-000000000005;C-GROV;C-GROV;;2026-04-10T11:00:00Z;2026-04-10T11:45:00Z;PRE_DEPARTURE;GROUND_TIME_EST;false;45;48.75;65.00;AIRCRAFT_REGISTRATIONS;;NONE;No APU reporting on this fleet. APU412: the expected path, not a data quality exception.;2026-04-10T00:00:00Z;WP19_SEED;2026-04-10T00:00:00Z;WP19_SEED
a9c00000-0000-4000-8000-000000000006;C-FITU;C-FITU;;2026-04-10T14:00:00Z;;PARKED;ACARS;true;;;110.00;AIRCRAFT_REGISTRATIONS;;NONE;APU406: no stop event. Flagged open  minutes and burn are NOT computed.;2026-04-10T00:00:00Z;WP19_SEED;2026-04-10T00:00:00Z;WP19_SEED
a9c00000-0000-4000-8000-000000034001;C-FDMO;C-FDMO;e5f6a7b8-5555-4000-8000-000000034001;2026-05-12T09:20:00Z;2026-05-12T10:00:00Z;POST_ARRIVAL;ACARS;false;40;70.00;105.00;AIRCRAFT_REGISTRATIONS;e5f6a7b8-5555-4000-8000-000000034001;PHASE;WP-34. Allocated to the ARRIVING leg, but the derivation sums by tail and window - the split is a cost question.;2026-05-12T00:00:00Z;WP34_SEED;2026-05-12T00:00:00Z;WP34_SEED
a9c00000-0000-4000-8000-000000034002;C-FDMO;C-FDMO;e5f6a7b8-5555-4000-8000-000000034002;2026-05-12T11:00:00Z;2026-05-12T11:20:00Z;PRE_DEPARTURE;ACARS;false;20;35.00;105.00;AIRCRAFT_REGISTRATIONS;e5f6a7b8-5555-4000-8000-000000034002;PHASE;WP-34. Allocated to the DEPARTING leg. Both halves are needed - 105 kg total across the turn.;2026-05-12T00:00:00Z;WP34_SEED;2026-05-12T00:00:00Z;WP34_SEED
a9c00000-0000-4000-8000-000000041201;C-FDMP;C-FDMP;e5f6a7b8-5555-4000-8000-0000000d0003;2026-04-10T13:15:00Z;2026-04-10T14:15:00Z;PRE_DEPARTURE;ACARS;false;60;105.00;105.00;AIRCRAFT_REGISTRATIONS;e5f6a7b8-5555-4000-8000-0000000d0003;PHASE;S3. Ends where refuelling starts - this is the ground burn the gauge gap shows.;2026-08-25T00:00:00Z;S3_CORRECTION;2026-08-25T00:00:00Z;S3_CORRECTION
a9c00000-0000-4000-8000-000000041202;C-FDMP;C-FDMP;e5f6a7b8-5555-4000-8000-0000000d0003;2026-04-10T16:22:00Z;2026-04-10T16:42:00Z;POST_ARRIVAL;ACARS;false;20;35.00;105.00;AIRCRAFT_REGISTRATIONS;e5f6a7b8-5555-4000-8000-0000000d0003;PHASE;S3. Chocks-on to flight closure.;2026-08-25T00:00:00Z;S3_CORRECTION;2026-08-25T00:00:00Z;S3_CORRECTION
a9c00000-0000-4000-8000-000000085601;C-GDMS;C-GDMS;e5f6a7b8-5555-4000-8000-0000000d0002;2026-04-11T08:44:00Z;2026-04-11T09:04:00Z;POST_ARRIVAL;ACARS;false;20;45.00;135.00;AIRCRAFT_REGISTRATIONS;e5f6a7b8-5555-4000-8000-0000000d0002;PHASE;S2. Chocks-on at LHR to flight closure.;2026-08-25T00:00:00Z;S2_CORRECTION;2026-08-25T00:00:00Z;S2_CORRECTION
