ID;invoice_number;internal_number;supplier_ID;invoice_date;posting_date;due_date;baseline_date;currency_code;net_amount;tax_amount;gross_amount;stated_net_amount;stated_gross_amount;stated_line_count;payment_terms;discount_percent;discount_date;match_status;price_variance;quantity_variance;variance_percentage;approval_status;requires_dual_approval;first_approver;first_approved_at;final_approver;final_approved_at;s4_document_number;s4_fiscal_year;s4_company_code;fi_posting_status;status;posting_gate;gate_evaluated_at;open_hard_count;open_soft_count;warning_count;notes;rejection_reason;is_duplicate;duplicate_of_ID;created_at;created_by;modified_at;modified_by
550e8400-e29b-41d4-a716-44665544A201;INV-WFS-20260324-001;INV-WFS-AC-20260324-001;b2c3d4e5-2222-4000-8000-00000000A001;2026-03-24;2026-03-25;2026-04-23;2026-03-24;USD;1870.00;224.40;2094.40;;;;NET30;2.00;2026-04-03;MATCHED;0.00;0.00;0.00;APPROVED;false;finance.controller@airline.com;2026-03-25T10:00:00Z;;;5100200001;2026;3000;SUCCESS;POSTED;GATED;2026-09-01T00:00:00Z;2;0;0;AC Step 7: Invoice for AC601 YYZ-YUL delivery - exact match;;false;;2026-03-24T14:00:00Z;ap.clerk@airline.com;2026-03-25T10:30:00Z;finance.controller@airline.com
550e8400-e29b-41d4-a716-44665544A202;INV-BPUK-20260325-001;INV-BP-AC-20260325-001;b2c3d4e5-2222-4000-8000-00000000A003;2026-03-25;2026-03-26;2026-04-24;2026-03-25;USD;65436.00;7852.32;73288.32;;;;NET30;2.00;2026-04-04;PARTIAL_MATCH;0.00;-0.25;-0.25;PENDING;false;;;;;;;;;SUBMITTED;GATED;2026-09-01T00:00:00Z;1;0;0;AC Step 6: Invoice for AC102 LHR-YYZ - pending verification;;false;;2026-03-25T16:00:00Z;ap.clerk@airline.com;2026-03-25T16:00:00Z;ap.clerk@airline.com
550e8400-e29b-41d4-a716-44665544A203;INV-TFS-20260326-001;INV-TFS-AC-20260326-001;b2c3d4e5-2222-4000-8000-00000000A004;2026-03-26;2026-03-27;2026-04-25;2026-03-26;EUR;37830.00;7186.70;45016.70;;;;NET30;1.50;2026-04-05;;0.00;0.00;0.00;;;;;;;;;;;DRAFT;GATED;2026-09-01T00:00:00Z;1;0;0;AC302 CDG-YYZ - supplier invoice received, not yet submitted;;false;;2026-03-26T15:00:00Z;ap.clerk@airline.com;2026-03-26T15:00:00Z;ap.clerk@airline.com
5bf2a3b4-bbbb-4000-8000-000000006001;INV-DUP-2026-0001;INV-PETAV-20260407-0001;b2c3d4e5-2222-4000-8000-000000000001;2026-04-07;2026-04-07;2026-05-07;;USD;34000.00;0.00;34000.00;;;;;;;UNMATCHED;;;;PENDING;false;;;;;;;;;DRAFT;GATED;2026-09-01T00:00:00Z;2;0;0;Duplicate invoice line scenario - line 2 repeats line 1;;true;;2026-04-01T00:00:00Z;WP06_SEED;2026-04-01T00:00:00Z;WP06_SEED
21a00004-0000-4000-8000-000000000001;INV-WFS-2026W21-001;INV-WFS-AC-20260415-001;b2c3d4e5-2222-4000-8000-00000000A001;2026-04-15;;;2026-04-15;USD;35045.50;0.00;35045.50;35045.50;35045.50;4;;;;UNMATCHED;;;;PENDING;false;;;;;;;1000;;SUBMITTED;GATED;2026-09-01T00:00:00Z;1;1;1;WP21A_SEED S1 the ladder: four lines differing only in quantity;;false;;2026-04-15T08:00:00Z;ap.clerk@airline.com;2026-04-15T08:00:00Z;ap.clerk@airline.com
21a00004-0000-4000-8000-000000000002;INV-WFS-2026W21-002;INV-WFS-AC-20260415-002;b2c3d4e5-2222-4000-8000-00000000A001;2026-04-15;;;2026-04-15;USD;25500.00;0.00;25500.00;25500.00;25500.00;4;;;;UNMATCHED;;;;PENDING;false;;;;;;;1000;;SUBMITTED;GATED;2026-09-01T00:00:00Z;4;0;0;WP21A_SEED S2 hard errors: unresolvable ticket, ticket with no order, order with no PO. States 4 lines, carries 3;;false;;2026-04-15T08:00:00Z;ap.clerk@airline.com;2026-04-15T08:00:00Z;ap.clerk@airline.com
21a00004-0000-4000-8000-000000000003;INV-WFS-2026W21-003;INV-WFS-AC-20260415-003;b2c3d4e5-2222-4000-8000-00000000A001;2026-04-15;;;2026-04-15;USD;17000.00;0.00;17000.00;17000.00;17000.00;2;;;;UNMATCHED;;;;PENDING;false;;;;;;;1000;;SUBMITTED;GATED;2026-09-01T00:00:00Z;4;0;0;WP21A_SEED S3 duplicate: two lines on one ticket, each of which resolves perfectly;;false;;2026-04-15T08:00:00Z;ap.clerk@airline.com;2026-04-15T08:00:00Z;ap.clerk@airline.com
21a00004-0000-4000-8000-000000000004;INV-WFS-2026W21-003;INV-WFS-AC-20260415-004;b2c3d4e5-2222-4000-8000-00000000A001;2026-04-15;;;2026-04-15;USD;8500.00;0.00;8500.00;8500.00;8500.00;1;;;;UNMATCHED;;;;PENDING;false;;;;;;;1000;;SUBMITTED;GATED;2026-09-01T00:00:00Z;1;0;0;WP21A_SEED S3b same invoice number and vendor as S3;;false;;2026-04-15T08:00:00Z;ap.clerk@airline.com;2026-04-15T08:00:00Z;ap.clerk@airline.com
21a00004-0000-4000-8000-000000000005;INV-WFS-2026W21-005;INV-WFS-AC-20260415-005;b2c3d4e5-2222-4000-8000-00000000A001;2026-04-15;;;2026-04-15;USD;8500.00;0.00;8500.00;8500.00;8500.00;1;;;;UNMATCHED;;;;PENDING;false;;;;;;;1000;;SUBMITTED;GATED;2026-09-01T00:00:00Z;0;1;0;WP21A_SEED S4 one SOFT error only: the stated PO disagrees with the resolved one;;false;;2026-04-15T08:00:00Z;ap.clerk@airline.com;2026-04-15T08:00:00Z;ap.clerk@airline.com
21a00004-0000-4000-8000-000000000006;INV-PETRON-2026W21-006;INV-PET-AC-20260415-006;b2c3d4e5-2222-4000-8000-000000000003;2026-04-15;;;2026-04-15;USD;8500.00;0.00;8500.00;8500.00;8500.00;1;;;;UNMATCHED;;;;PENDING;false;;;;;;;1000;;SUBMITTED;CLEAR;2026-09-01T00:00:00Z;0;0;1;WP21A_SEED S5 provisional price: the comparison is suspended, not passed;;false;;2026-04-15T08:00:00Z;ap.clerk@airline.com;2026-04-15T08:00:00Z;ap.clerk@airline.com
f1c00000-0000-4000-8000-000000000001;INV-WFS-20260416-101;INV-WFS-AC-20260416-001;b2c3d4e5-2222-4000-8000-00000000A001;2026-04-16;;;2026-04-16;CAD;2045.69;0.00;2045.69;2045.69;2045.69;1;;;;UNMATCHED;;;;PENDING;false;;;;;;;1000;;SUBMITTED;CLEAR;2026-09-01T00:00:00Z;0;0;0;FIM_STEP2 S3 AC412 C-FDMP. The clean case: one line reaching one ticket, one delivery, one order, one flight, one tail.;;false;;2026-04-16T09:00:00Z;FIM_STEP2_SEED;2026-04-16T09:00:00Z;FIM_STEP2_SEED
f1c00000-0000-4000-8000-000000000002;INV-WFS-20260416-102;INV-WFS-AC-20260416-002;b2c3d4e5-2222-4000-8000-00000000A001;2026-04-16;;;2026-04-16;CAD;4091.38;0.00;4091.38;4091.38;4091.38;2;;;;UNMATCHED;;;;PENDING;false;;;;;;;1000;;SUBMITTED;GATED;2026-09-01T00:00:00Z;3;0;0;FIM_STEP2 S1 AC410 C-FDMO. The same ticket billed on two lines - INV455, and INV474 because both lines share the order and the GR.;;false;;2026-04-16T09:00:00Z;FIM_STEP2_SEED;2026-04-16T09:00:00Z;FIM_STEP2_SEED
f1c00000-0000-4000-8000-000000000003;INV-WFS-20260416-103;INV-WFS-AC-20260416-003;b2c3d4e5-2222-4000-8000-00000000A001;2026-04-16;;;2026-04-16;CAD;38198.00;0.00;38198.00;38198.00;38198.00;1;;;;UNMATCHED;;;;PENDING;false;;;;;;;1000;;SUBMITTED;GATED;2026-09-01T00:00:00Z;0;2;0;FIM_STEP2 S2 AC856 C-GDMS. Invoiced above the goods receipt: the SOFT rung of TOL-INV-QTY, and above the ordered quantity.;;false;;2026-04-16T09:00:00Z;FIM_STEP2_SEED;2026-04-16T09:00:00Z;FIM_STEP2_SEED
