ID;market_index_ID;effective_date;index_value;previous_value;daily_change;daily_change_pct;high_value;low_value;average_value;import_source;import_batch_id;imported_at;imported_by;verification_status;verified_by;verified_at;verification_notes;is_estimated;is_holiday;is_corrected;correction_reason;is_current;restates_ID;created_at;created_by;modified_at;modified_by
550e8400-e29b-41d4-a716-446655446401;550e8400-e29b-41d4-a716-446655446001;2026-01-17;82.5000;81.7500;0.7500;0.92;;;;PLATTS-SG-20260117;BATCH-20260117-001;2026-01-17T17:00:00Z;index.import@airline.com;VERIFIED;pricing.admin@airline.com;2026-01-17T17:00:00Z;;false;false;false;;true;;2026-01-17T17:00:00Z;index.import@airline.com;2026-01-17T17:00:00Z;index.import@airline.com
550e8400-e29b-41d4-a716-446655446402;550e8400-e29b-41d4-a716-446655446001;2026-01-16;81.7500;83.2500;-1.5000;-1.80;;;;PLATTS-SG-20260116;BATCH-20260116-001;2026-01-16T17:00:00Z;index.import@airline.com;VERIFIED;pricing.admin@airline.com;2026-01-16T17:00:00Z;;false;false;false;;true;;2026-01-16T17:00:00Z;index.import@airline.com;2026-01-16T17:00:00Z;index.import@airline.com
550e8400-e29b-41d4-a716-446655446403;550e8400-e29b-41d4-a716-446655446001;2026-01-15;83.2500;82.0000;1.2500;1.52;;;;PLATTS-SG-20260115;BATCH-20260115-001;2026-01-15T17:00:00Z;index.import@airline.com;VERIFIED;pricing.admin@airline.com;2026-01-15T17:00:00Z;;false;false;false;;true;;2026-01-15T17:00:00Z;index.import@airline.com;2026-01-15T17:00:00Z;index.import@airline.com
550e8400-e29b-41d4-a716-446655446404;550e8400-e29b-41d4-a716-446655446002;2026-01-17;78.3000;77.8500;0.4500;0.58;;;;PLATTS-RT-20260117;BATCH-20260117-002;2026-01-17T17:30:00Z;index.import@airline.com;VERIFIED;pricing.admin@airline.com;2026-01-17T17:30:00Z;;false;false;false;;true;;2026-01-17T17:30:00Z;index.import@airline.com;2026-01-17T17:30:00Z;index.import@airline.com
550e8400-e29b-41d4-a716-446655446405;550e8400-e29b-41d4-a716-446655446002;2026-01-16;77.8500;78.5000;-0.6500;-0.83;;;;PLATTS-RT-20260116;BATCH-20260116-002;2026-01-16T17:30:00Z;index.import@airline.com;VERIFIED;pricing.admin@airline.com;2026-01-16T17:30:00Z;;false;false;false;;true;;2026-01-16T17:30:00Z;index.import@airline.com;2026-01-16T17:30:00Z;index.import@airline.com
550e8400-e29b-41d4-a716-446655446406;550e8400-e29b-41d4-a716-446655446003;2026-01-17;80.1500;79.5000;0.6500;0.82;;;;ARGUS-JP-20260117;BATCH-20260117-003;2026-01-17T16:30:00Z;index.import@airline.com;VERIFIED;pricing.admin@airline.com;2026-01-17T16:30:00Z;;false;false;false;;true;;2026-01-17T16:30:00Z;index.import@airline.com;2026-01-17T16:30:00Z;index.import@airline.com
550e8400-e29b-41d4-a716-446655446411;550e8400-e29b-41d4-a716-446655446001;2026-01-05;79.5000;78.9000;0.6000;0.76;79.8000;79.1000;;PLATTS-SG-20260105;BATCH-20260105-001;2026-01-05T17:00:00Z;index.import@airline.com;VERIFIED;pricing.admin@airline.com;2026-01-05T17:00:00Z;;false;false;false;;true;;2026-01-05T17:00:00Z;index.import@airline.com;2026-01-05T17:00:00Z;index.import@airline.com
550e8400-e29b-41d4-a716-446655446412;550e8400-e29b-41d4-a716-446655446001;2026-01-06;80.2500;79.5000;0.7500;0.94;80.6000;79.4000;;PLATTS-SG-20260106;BATCH-20260106-001;2026-01-06T17:00:00Z;index.import@airline.com;VERIFIED;pricing.admin@airline.com;2026-01-06T17:00:00Z;;false;false;false;;true;;2026-01-06T17:00:00Z;index.import@airline.com;2026-01-06T17:00:00Z;index.import@airline.com
550e8400-e29b-41d4-a716-446655446413;550e8400-e29b-41d4-a716-446655446001;2026-01-07;80.8000;80.2500;0.5500;0.69;81.0000;80.1000;;PLATTS-SG-20260107;BATCH-20260107-001;2026-01-07T17:00:00Z;index.import@airline.com;VERIFIED;pricing.admin@airline.com;2026-01-07T17:00:00Z;;false;false;false;;true;;2026-01-07T17:00:00Z;index.import@airline.com;2026-01-07T17:00:00Z;index.import@airline.com
550e8400-e29b-41d4-a716-446655446414;550e8400-e29b-41d4-a716-446655446001;2026-01-08;81.1000;80.8000;0.3000;0.37;81.4000;80.7000;;PLATTS-SG-20260108;BATCH-20260108-001;2026-01-08T17:00:00Z;index.import@airline.com;VERIFIED;pricing.admin@airline.com;2026-01-08T17:00:00Z;;false;false;false;;true;;2026-01-08T17:00:00Z;index.import@airline.com;2026-01-08T17:00:00Z;index.import@airline.com
550e8400-e29b-41d4-a716-446655446415;550e8400-e29b-41d4-a716-446655446001;2026-01-09;82.0000;81.1000;0.9000;1.11;82.3000;81.0000;;PLATTS-SG-20260109;BATCH-20260109-001;2026-01-09T17:00:00Z;index.import@airline.com;VERIFIED;pricing.admin@airline.com;2026-01-09T17:00:00Z;;false;false;false;;true;;2026-01-09T17:00:00Z;index.import@airline.com;2026-01-09T17:00:00Z;index.import@airline.com
