ID;contract_number;contract_name;supplier_ID;valid_from;valid_to;contract_type;price_type;currency_code;payment_terms;incoterms;min_volume_kg;max_volume_kg;s4_contract_number;is_active;created_at;created_by;modified_at;modified_by
d4e5f6a7-4444-4000-8000-000000000001;PAL-PETAV-2024-001;Petron Aviation Manila Hub Supply Agreement;b2c3d4e5-2222-4000-8000-000000000001;2024-01-01;2025-12-31;TERM;CPE;USD;NET30;DAP;5000000.00;50000000.00;4600000001;true;2024-01-01T00:00:00Z;SYSTEM;2024-01-01T00:00:00Z;SYSTEM
d4e5f6a7-4444-4000-8000-000000000002;PAL-PETRON-2024-001;Petron Domestic Network Agreement;b2c3d4e5-2222-4000-8000-000000000003;2024-01-01;2025-12-31;TERM;CPE;PHP;NET45;DAP;3000000.00;30000000.00;4600000002;true;2024-01-01T00:00:00Z;SYSTEM;2024-01-01T00:00:00Z;SYSTEM
d4e5f6a7-4444-4000-8000-000000000003;PAL-BP-2024-001;BP Singapore Operations Contract;b2c3d4e5-2222-4000-8000-000000000002;2024-01-01;2025-12-31;TERM;CPE;USD;NET30;FCA;4000000.00;40000000.00;4600000003;true;2024-01-01T00:00:00Z;SYSTEM;2024-01-01T00:00:00Z;SYSTEM
d4e5f6a7-4444-4000-8000-000000000004;PAL-TOTAL-2024-001;TotalEnergies Dubai Supply;b2c3d4e5-2222-4000-8000-000000000004;2024-01-01;2025-12-31;TERM;CPE;USD;NET30;DAP;2000000.00;25000000.00;4600000004;true;2024-01-01T00:00:00Z;SYSTEM;2024-01-01T00:00:00Z;SYSTEM
d4e5f6a7-4444-4000-8000-000000000005;PAL-SINOPEC-2024-001;Sinopec Hong Kong Agreement;b2c3d4e5-2222-4000-8000-000000000005;2024-01-01;2025-12-31;TERM;CPE;USD;NET30;DAP;2500000.00;28000000.00;4600000005;true;2024-01-01T00:00:00Z;SYSTEM;2024-01-01T00:00:00Z;SYSTEM
d4e5f6a7-4444-4000-8000-000000000006;PAL-CALTEX-2024-001;Caltex Australia Supply Agreement;b2c3d4e5-2222-4000-8000-000000000006;2024-01-01;2025-12-31;TERM;CPE;AUD;NET45;DAP;1500000.00;18000000.00;4600000006;true;2024-01-01T00:00:00Z;SYSTEM;2024-01-01T00:00:00Z;SYSTEM
d4e5f6a7-4444-4000-8000-00000000A001;AC-WFS-2025-001;World Fuel Services YYZ Hub Agreement;b2c3d4e5-2222-4000-8000-00000000A001;2025-01-01;2026-12-31;TERM;CPE;USD;NET30;DAP;10000000.00;100000000.00;4600100001;true;2025-01-01T00:00:00Z;SYSTEM;2025-01-01T00:00:00Z;SYSTEM
d4e5f6a7-4444-4000-8000-00000000A002;AC-MENZ-2025-001;Menzies Aviation YVR Supply;b2c3d4e5-2222-4000-8000-00000000A002;2025-01-01;2026-12-31;TERM;CPE;CAD;NET30;DAP;8000000.00;80000000.00;4600100002;true;2025-01-01T00:00:00Z;SYSTEM;2025-01-01T00:00:00Z;SYSTEM
d4e5f6a7-4444-4000-8000-00000000A003;AC-BPUK-2025-001;BP Aviation LHR Supply;b2c3d4e5-2222-4000-8000-00000000A003;2025-01-01;2026-12-31;TERM;CPE;USD;NET30;FCA;12000000.00;120000000.00;4600100003;true;2025-01-01T00:00:00Z;SYSTEM;2025-01-01T00:00:00Z;SYSTEM
d4e5f6a7-4444-4000-8000-00000000A004;AC-TOTAL-2025-001;TotalEnergies CDG Supply;b2c3d4e5-2222-4000-8000-00000000A004;2025-01-01;2026-12-31;TERM;CPE;EUR;NET30;DAP;9000000.00;90000000.00;4600100004;true;2025-01-01T00:00:00Z;SYSTEM;2025-01-01T00:00:00Z;SYSTEM
