ID;aircraft_type_code;tail_number;tail_registration;record_date;record_time;sequence;airport_ID;airport_code;flight_ID;fuel_burn_ID;fuel_delivery_ID;entry_type;opening_rob_kg;uplift_kg;burn_kg;adjustment_kg;closing_rob_kg;max_capacity_kg;rob_percentage;adjustment_reason;adjustment_approved_by;adjustment_approved_at;data_source;is_estimated;created_at;created_by;modified_at;modified_by
550e8400-e29b-41d4-a716-44665544A101;A220;C-GROV;C-GROV;2026-03-24;06:00:00;1;a1b2c3d4-1111-4000-8000-000000000020;YYZ;;;;INITIAL;0.00;2200.00;0.00;0.00;2200.00;21805.00;10.09;;;;MANUAL;false;2026-03-24T06:00:00Z;ground.ops@airline.com;2026-03-24T06:00:00Z;ground.ops@airline.com
550e8400-e29b-41d4-a716-44665544A102;A220;C-GROV;C-GROV;2026-03-24;06:30:00;2;a1b2c3d4-1111-4000-8000-000000000020;YYZ;;;a7b8c9d0-7777-4000-8000-00000000A003;UPLIFT;2200.00;2180.00;0.00;0.00;4380.00;21805.00;20.09;;;;EPOD;false;2026-03-24T06:30:00Z;SYSTEM;2026-03-24T06:30:00Z;SYSTEM
550e8400-e29b-41d4-a716-44665544A103;A220;C-GROV;C-GROV;2026-03-24;08:10:00;3;a1b2c3d4-1111-4000-8000-000000000022;YUL;e5f6a7b8-5555-4000-8000-00000000A011;550e8400-e29b-41d4-a716-44665544A001;;FLIGHT;4380.00;0.00;1480.00;0.00;2900.00;21805.00;13.30;;;;ACARS;false;2026-03-24T08:10:00Z;SYSTEM;2026-03-24T08:10:00Z;SYSTEM
550e8400-e29b-41d4-a716-44665544A104;A220;C-GROV;C-GROV;2026-03-24;10:40:00;4;a1b2c3d4-1111-4000-8000-000000000020;YYZ;e5f6a7b8-5555-4000-8000-00000000A012;550e8400-e29b-41d4-a716-44665544A002;;FLIGHT;2900.00;0.00;1520.00;0.00;1380.00;21805.00;6.33;;;;ACARS;false;2026-03-24T10:40:00Z;SYSTEM;2026-03-24T10:40:00Z;SYSTEM
550e8400-e29b-41d4-a716-44665544A105;B777;C-FITU;C-FITU;2026-03-25;10:00:00;1;a1b2c3d4-1111-4000-8000-000000000026;LHR;;;;INITIAL;16000.00;0.00;0.00;0.00;16000.00;181280.00;8.83;;;;MANUAL;false;2026-03-25T10:00:00Z;ground.ops@airline.com;2026-03-25T10:00:00Z;ground.ops@airline.com
550e8400-e29b-41d4-a716-44665544A106;B777;C-FITU;C-FITU;2026-03-25;10:30:00;2;a1b2c3d4-1111-4000-8000-000000000026;LHR;;;a7b8c9d0-7777-4000-8000-00000000A002;UPLIFT;16000.00;63800.00;0.00;0.00;79800.00;181280.00;44.02;;;;EPOD;false;2026-03-25T10:30:00Z;SYSTEM;2026-03-25T10:30:00Z;SYSTEM
550e8400-e29b-41d4-a716-44665544A107;B777;C-FITU;C-FITU;2026-03-25;14:05:00;3;a1b2c3d4-1111-4000-8000-000000000020;YYZ;e5f6a7b8-5555-4000-8000-00000000A003;550e8400-e29b-41d4-a716-44665544A003;;FLIGHT;79800.00;0.00;63500.00;0.00;16300.00;181280.00;8.99;;;;ACARS;false;2026-03-25T14:05:00Z;SYSTEM;2026-03-25T14:05:00Z;SYSTEM
550e8400-e29b-41d4-a716-44665544A108;B777;C-FITU;C-FITU;2026-03-25;19:45:00;4;a1b2c3d4-1111-4000-8000-000000000020;YYZ;;;a7b8c9d0-7777-4000-8000-00000000A001;UPLIFT;16300.00;67800.00;0.00;0.00;84100.00;181280.00;46.39;;;;EPOD;false;2026-03-25T19:45:00Z;SYSTEM;2026-03-25T19:45:00Z;SYSTEM
550e8400-e29b-41d4-a716-44665544A109;B777;C-FITU;C-FITU;2026-03-26;08:50:00;5;a1b2c3d4-1111-4000-8000-000000000026;LHR;e5f6a7b8-5555-4000-8000-00000000A002;550e8400-e29b-41d4-a716-44665544A004;;FLIGHT;84100.00;0.00;67200.00;0.00;16900.00;181280.00;9.32;;;;ACARS;false;2026-03-26T08:50:00Z;SYSTEM;2026-03-26T08:50:00Z;SYSTEM
4ae1f2a3-aaaa-4000-8000-000000006001;A320;RP-C8805;RP-C8805;2026-04-05;06:00:00;1;a1b2c3d4-1111-4000-8000-000000000001;MNL;;;;INITIAL;0.00;0.00;0.00;0.00;9000.00;18000.00;50.00;;;;MANUAL;false;2026-04-01T00:00:00Z;WP06_SEED;2026-04-01T00:00:00Z;WP06_SEED
