registration;aircraft_type_code;operator_code;home_base;fleet_role;dow_kg;fuel_capacity_kg;apu_burn_rate_kg_hr;apu_rate_source;performance_factor;record_status;on_own_aoc
C-GROV;A223;AC;YYZ;ROTATION;38000;17700;65;REGISTER;100.0;CONFIRMED;true
C-GNBN;A223;AC;YYZ;ROTATION;38000;17700;65;REGISTER;100.0;CONFIRMED;true
C-FSJH;B38M;AC;YYZ;ROTATION;45500;20826;100;PROPOSED;100.0;CONFIRMED;true
C-FSNQ;B38M;AC;YVR;ROTATION;45500;20826;100;PROPOSED;100.0;CONFIRMED;true
C-GJWO;A321;AC;YYZ;ROTATION;49000;23700;110;REGISTER;100.0;CONFIRMED;true
C-GITY;A321;AC;YUL;ROTATION;49000;23700;110;REGISTER;100.0;CONFIRMED;true
C-GHKR;A333;AC;YYZ;ROTATION;130000;87000;95;REGISTER;100.0;CONFIRMED;true
C-FITU;A223;AC;YUL;ROTATION;38000;17700;65;REGISTER;100.0;CONFIRMED;true
C-GFAH;A223;AC;YWG;ROTATION;38000;17700;65;REGISTER;100.0;CONFIRMED;true
C-GJVX;A223;AC;YUL;ROTATION;38000;17700;65;REGISTER;100.0;CONFIRMED;true
C-GHPX;A321;RV;YYZ;ROTATION;49000;23700;110;REGISTER;100.0;CONFIRMED;true
C-GGNY;DH8D;QK;YYZ;ROTATION;17900;5318;50;PROPOSED;100.0;CONFIRMED;true
C-FJJZ;CRJ9;QK;YYC;ROTATION;21845;8822;55;PROPOSED;100.0;CONFIRMED;true
C-GGOF;DH8D;QK;YVR;ROTATION;17900;5318;50;PROPOSED;100.0;CONFIRMED;true
C-GHPQ;DH8D;PB;YHZ;ROTATION;17900;5318;50;PROPOSED;100.0;CONFIRMED;true
C-GJXE;A223;AC;YYZ;RESERVE;38000;17700;65;REGISTER;100.0;CONFIRMED;true
C-FSDB;B38M;AC;YVR;RESERVE;45500;20826;100;PROPOSED;100.0;CONFIRMED;true
C-GJZR;CRJ9;QK;YYC;RESERVE;21845;8822;55;PROPOSED;100.0;CONFIRMED;true
C-GJWD;A223;AC;YUL;RESERVE;38000;17700;65;REGISTER;100.0;CONFIRMED;true
C-GKQA;DH8D;PB;YHZ;RESERVE;17900;5318;50;PROPOSED;100.0;CONFIRMED;true
C-GKQB;A223;AC;YWG;RESERVE;38000;17700;65;REGISTER;100.0;CONFIRMED;true
